stepno=   80, timepoints=2.687000e+03, conv=1, iters=50, x=
stepno=   81, timepoints=2.623000e+03, conv=0, iters=45, x=1.771724e+00 -8.228278e+00 -1.113126e+00 1.464460e+00 1.464459e+00 3.752997e-01 3.752996e-01 1.388044e+00 1.388044e+00 1.044209e+01 8.868734e-01 1.067712e+01 1.200001e+01 1.200001e+01 -3.023365e-03 -2.964607e-03 -7.115151e-04 3.263413e-04 
stepno=   82, timepoints=2.751000e+03, conv=1, iters=50, x=
stepno=   83, timepoints=2.687000e+03, conv=0, iters=45, x=1.771744e+00 -8.228258e+00 -1.112166e+00 1.464471e+00 1.464471e+00 3.747972e-01 3.747971e-01 1.388064e+00 1.388064e+00 1.044444e+01 8.878334e-01 1.067951e+01 1.200001e+01 1.200001e+01 -3.022775e-03 -2.964006e-03 -7.116091e-04 3.263889e-04 
stepno=   84, timepoints=2.815000e+03, conv=1, iters=50, x=
stepno=   85, timepoints=2.751000e+03, conv=0, iters=45, x=1.771761e+00 -8.228241e+00 -1.111348e+00 1.464481e+00 1.464481e+00 3.743342e-01 3.743341e-01 1.388080e+00 1.388080e+00 1.044644e+01 8.886517e-01 1.068154e+01 1.200001e+01 1.200001e+01 -3.022271e-03 -2.963494e-03 -7.116893e-04 3.264296e-04 
stepno=   86, timepoints=2.879000e+03, conv=1, iters=50, x=
stepno=   87, timepoints=2.815000e+03, conv=0, iters=45, x=1.771774e+00 -8.228227e+00 -1.110650e+00 1.464489e+00 1.464489e+00 3.739074e-01 3.739073e-01 1.388093e+00 1.388093e+00 1.044815e+01 8.893492e-01 1.068328e+01 1.200001e+01 1.200001e+01 -3.021842e-03 -2.963058e-03 -7.117577e-04 3.264643e-04 
stepno=   88, timepoints=2.943000e+03, conv=1, iters=50, x=
stepno=   89, timepoints=2.879000e+03, conv=0, iters=45, x=1.771785e+00 -8.228216e+00 -1.110056e+00 1.464495e+00 1.464495e+00 3.735141e-01 3.735140e-01 1.388103e+00 1.388103e+00 1.044961e+01 8.899437e-01 1.068476e+01 1.200001e+01 1.200001e+01 -3.021477e-03 -2.962686e-03 -7.118160e-04 3.264939e-04 
stepno=   90, timepoints=3.007000e+03, conv=1, iters=50, x=
stepno=   91, timepoints=2.943000e+03, conv=0, iters=45, x=1.771794e+00 -8.228207e+00 -1.109549e+00 1.464499e+00 1.464499e+00 3.731516e-01 3.731515e-01 1.388112e+00 1.388112e+00 1.045085e+01 8.904503e-01 1.068603e+01 1.200001e+01 1.200001e+01 -3.021165e-03 -2.962369e-03 -7.118658e-04 3.265191e-04 
stepno=   92, timepoints=3.071000e+03, conv=1, iters=50, x=
stepno=   93, timepoints=3.007000e+03, conv=0, iters=45, x=1.771802e+00 -8.228200e+00 -1.109117e+00 1.464503e+00 1.464503e+00 3.728174e-01 3.728174e-01 1.388119e+00 1.388119e+00 1.045191e+01 8.908821e-01 1.068711e+01 1.200001e+01 1.200001e+01 -3.020899e-03 -2.962099e-03 -7.119083e-04 3.265406e-04 
stepno=   94, timepoints=3.135000e+03, conv=1, iters=50, x=
stepno=   95, timepoints=3.071000e+03, conv=0, iters=45, x=1.771808e+00 -8.228194e+00 -1.108749e+00 1.464506e+00 1.464506e+00 3.725094e-01 3.725094e-01 1.388125e+00 1.388125e+00 1.045282e+01 8.912501e-01 1.068802e+01 1.200001e+01 1.200001e+01 -3.020672e-03 -2.961868e-03 -7.119445e-04 3.265590e-04 
stepno=   96, timepoints=3.199000e+03, conv=1, iters=50, x=
stepno=   97, timepoints=3.135000e+03, conv=0, iters=45, x=1.771812e+00 -8.228189e+00 -1.108436e+00 1.464508e+00 1.464508e+00 3.722255e-01 3.722255e-01 1.388129e+00 1.388129e+00 1.045359e+01 8.915637e-01 1.068881e+01 1.200001e+01 1.200001e+01 -3.020479e-03 -2.961672e-03 -7.119754e-04 3.265746e-04 
stepno=   98, timepoints=3.263000e+03, conv=1, iters=50, x=
stepno=   99, timepoints=3.199000e+03, conv=0, iters=45, x=1.771816e+00 -8.228186e+00 -1.108169e+00 1.464509e+00 1.464509e+00 3.719638e-01 3.719638e-01 1.388133e+00 1.388133e+00 1.045424e+01 8.918309e-01 1.068948e+01 1.200001e+01 1.200001e+01 -3.020314e-03 -2.961505e-03 -7.120017e-04 3.265880e-04 
stepno=  100, timepoints=3.327000e+03, conv=1, iters=50, x=
stepno=  101, timepoints=3.263000e+03, conv=0, iters=45, x=1.771819e+00 -8.228183e+00 -1.107941e+00 1.464510e+00 1.464510e+00 3.717226e-01 3.717225e-01 1.388135e+00 1.388135e+00 1.045480e+01 8.920586e-01 1.069004e+01 1.200001e+01 1.200001e+01 -3.020174e-03 -2.961362e-03 -7.120242e-04 3.265994e-04 
stepno=  102, timepoints=3.391000e+03, conv=1, iters=50, x=
stepno=  103, timepoints=3.327000e+03, conv=0, iters=45, x=1.771821e+00 -8.228181e+00 -1.107747e+00 1.464510e+00 1.464510e+00 3.715002e-01 3.715001e-01 1.388137e+00 1.388137e+00 1.045528e+01 8.922525e-01 1.069053e+01 1.200001e+01 1.200001e+01 -3.020055e-03 -2.961241e-03 -7.120434e-04 3.266091e-04 
stepno=  104, timepoints=3.455000e+03, conv=1, iters=50, x=
stepno=  105, timepoints=3.391000e+03, conv=0, iters=45, x=1.771822e+00 -8.228179e+00 -1.107582e+00 1.464510e+00 1.464510e+00 3.712951e-01 3.712951e-01 1.388139e+00 1.388139e+00 1.045569e+01 8.924178e-01 1.069094e+01 1.200001e+01 1.200001e+01 -3.019953e-03 -2.961137e-03 -7.120598e-04 3.266174e-04 
stepno=  106, timepoints=3.519000e+03, conv=1, iters=50, x=
stepno=  107, timepoints=3.455000e+03, conv=0, iters=45, x=1.771824e+00 -8.228178e+00 -1.107441e+00 1.464510e+00 1.464510e+00 3.711061e-01 3.711060e-01 1.388140e+00 1.388140e+00 1.045604e+01 8.925585e-01 1.069130e+01 1.200001e+01 1.200001e+01 -3.019866e-03 -2.961049e-03 -7.120737e-04 3.266245e-04 
stepno=  108, timepoints=3.583000e+03, conv=1, iters=50, x=
stepno=  109, timepoints=3.519000e+03, conv=0, iters=45, x=1.771824e+00 -8.228177e+00 -1.107321e+00 1.464510e+00 1.464510e+00 3.709318e-01 3.709318e-01 1.388141e+00 1.388140e+00 1.045633e+01 8.926784e-01 1.069160e+01 1.200001e+01 1.200001e+01 -3.019792e-03 -2.960974e-03 -7.120856e-04 3.266305e-04 
stepno=  110, timepoints=3.647000e+03, conv=1, iters=50, x=
stepno=  111, timepoints=3.583000e+03, conv=0, iters=45, x=1.771825e+00 -8.228177e+00 -1.107219e+00 1.464510e+00 1.464509e+00 3.707711e-01 3.707711e-01 1.388141e+00 1.388141e+00 1.045659e+01 8.927806e-01 1.069185e+01 1.200001e+01 1.200001e+01 -3.019729e-03 -2.960910e-03 -7.120958e-04 3.266357e-04 
stepno=  112, timepoints=3.711000e+03, conv=1, iters=50, x=
stepno=  113, timepoints=3.647000e+03, conv=0, iters=45, x=1.771825e+00 -8.228177e+00 -1.107132e+00 1.464509e+00 1.464509e+00 3.706230e-01 3.706230e-01 1.388141e+00 1.388141e+00 1.045680e+01 8.928675e-01 1.069207e+01 1.200001e+01 1.200001e+01 -3.019675e-03 -2.960855e-03 -7.121045e-04 3.266401e-04 
stepno=  114, timepoints=3.775000e+03, conv=1, iters=50, x=
