stepno=    1, timepoints=1.000000e+00, conv=0, iters= 2, x=2.711089e-15 6.615951e-02 9.900990e-02 6.609276e-05 1.980198e-02 1.000000e+01 -1.851959e-02 
stepno=  151, timepoints=4.799000e+03, conv=0, iters=34, x=6.681869e-01 7.397754e-01 1.000001e+01 7.279730e-01 1.490433e+00 1.000001e+01 -7.875407e-03 
stepno=  152, timepoints=4.927000e+03, conv=1, iters=50, x=
stepno=  153, timepoints=4.863000e+03, conv=0, iters=34, x=6.681892e-01 7.397780e-01 1.000001e+01 7.282450e-01 1.490435e+00 1.000001e+01 -7.875404e-03 
stepno=  154, timepoints=4.991000e+03, conv=1, iters=50, x=
stepno=  155, timepoints=4.927000e+03, conv=0, iters=34, x=6.681914e-01 7.397804e-01 1.000001e+01 7.285007e-01 1.490437e+00 1.000001e+01 -7.875402e-03 
stepno=  156, timepoints=5.055000e+03, conv=1, iters=50, x=
stepno=  157, timepoints=4.991000e+03, conv=0, iters=34, x=6.681935e-01 7.397827e-01 1.000001e+01 7.287410e-01 1.490440e+00 1.000001e+01 -7.875400e-03 
stepno=  158, timepoints=5.119000e+03, conv=1, iters=50, x=
stepno=  159, timepoints=5.055000e+03, conv=0, iters=34, x=6.681955e-01 7.397848e-01 1.000001e+01 7.289668e-01 1.490442e+00 1.000001e+01 -7.875399e-03 
stepno=  160, timepoints=5.183000e+03, conv=1, iters=50, x=
stepno=  161, timepoints=5.119000e+03, conv=0, iters=34, x=6.681973e-01 7.397868e-01 1.000001e+01 7.291790e-01 1.490443e+00 1.000001e+01 -7.875397e-03 
stepno=  162, timepoints=5.247000e+03, conv=1, iters=50, x=
stepno=  163, timepoints=5.183000e+03, conv=0, iters=34, x=6.681990e-01 7.397887e-01 1.000001e+01 7.293784e-01 1.490445e+00 1.000001e+01 -7.875395e-03 
stepno=  164, timepoints=5.311000e+03, conv=1, iters=50, x=
stepno=  165, timepoints=5.247000e+03, conv=0, iters=34, x=6.682006e-01 7.397905e-01 1.000001e+01 7.295659e-01 1.490447e+00 1.000001e+01 -7.875394e-03 
stepno=  166, timepoints=5.375000e+03, conv=1, iters=50, x=
stepno=  167, timepoints=5.311000e+03, conv=0, iters=34, x=6.682022e-01 7.397921e-01 1.000001e+01 7.297421e-01 1.490449e+00 1.000001e+01 -7.875392e-03 
stepno=  168, timepoints=5.439000e+03, conv=1, iters=50, x=
stepno=  169, timepoints=5.375000e+03, conv=0, iters=34, x=6.682036e-01 7.397937e-01 1.000001e+01 7.299076e-01 1.490450e+00 1.000001e+01 -7.875391e-03 
stepno=  170, timepoints=5.503000e+03, conv=1, iters=50, x=
stepno=  171, timepoints=5.439000e+03, conv=0, iters=34, x=6.682049e-01 7.397952e-01 1.000001e+01 7.300632e-01 1.490451e+00 1.000001e+01 -7.875390e-03 
stepno=  172, timepoints=5.567000e+03, conv=1, iters=50, x=
